Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
22;4.400067976011949;1,483;0;7.910710;105,465;105,465;0;0;1,950;1.001214;8.000000;168.845077;37,551;67,914;105,465;0;0;0;0.0001304193082585171;0.0001369218574842921;9.107065;19.001781;0.238075;105,593;15,600
25;5.000021168164916;1,481;0;7.935843;105,465;105,465;0;0;1,950;1.001214;8.000000;180.169484;37,551;67,914;105,465;0;0;0;0.0001323498064454046;0.000137093322247783;9.107065;19.001781;0.238075;105,593;15,600
23;4.600008034870089;1,493;0;8.001486;105,465;105,465;0;0;1,950;1.001214;8.000000;176.848687;37,551;67,914;105,465;0;0;0;0.0001282720628226721;0.0001377325449577885;9.107065;19.001781;0.238075;105,593;15,600
26;5.200085472733464;1,518;0;8.148445;105,465;105,465;0;0;2,275;1.001214;6.857143;188.319430;37,551;67,914;105,465;0;0;0;0.0001248216336187603;0.0001369773362737284;9.107065;19.001781;0.238075;105,593;15,600
24;4.800032830253006;1,475;0;7.914279;105,465;105,465;0;0;1,950;1.001214;8.000000;184.764977;37,551;67,914;105,465;0;0;0;0.0001344789545536148;0.0001368873609451734;9.107065;19.001781;0.238075;105,593;15,600
27;5.400000509880896;1,477;0;7.871937;105,465;105,465;0;0;1,950;1.001214;8.000000;196.192779;37,551;67,914;105,465;0;0;0;0.0001329188234804968;0.0001370276317901872;9.107065;19.001781;0.238075;105,593;15,600
25;5.000021168164916;1,481;0;7.887969;105,465;105,465;0;0;1,950;1.001214;8.000000;192.655009;37,551;67,914;105,465;0;0;0;0.0001323498064454046;0.000137093322247783;9.107065;19.001781;0.238075;105,593;15,600
28;5.600108295237154;1,491;0;7.992789;105,465;105,465;0;0;2,028;1.001214;7.692308;204.187453;37,551;67,914;105,465;0;0;0;0.000132333438229591;0.0001358986619866207;9.107065;19.001781;0.238075;105,593;15,600
26;5.200085472733464;1,518;0;8.148319;105,465;105,465;0;0;2,275;1.001214;6.857143;200.805256;37,551;67,914;105,465;0;0;0;0.0001248216336187603;0.0001369773362737284;9.107065;19.001781;0.238075;105,593;15,600
29;5.80012305435852;1,543;0;8.269646;105,465;105,465;0;0;2,275;1.001214;6.857143;212.458741;37,551;67,914;105,465;0;0;0;0.0001199000421498228;0.0001355090565469364;9.107065;19.001781;0.238075;105,593;15,600
27;5.400000509880896;1,477;0;7.914950;105,465;105,465;0;0;1,950;1.001214;8.000000;208.722230;37,551;67,914;105,465;0;0;0;0.0001329188234804968;0.0001370276317901872;9.107065;19.001781;0.238075;105,593;15,600
30;6.00001670232541;1,487;0;7.947985;105,465;105,465;0;0;1,950;1.001214;8.000000;220.408327;37,551;67,914;105,465;0;0;0;0.0001307214692373571;0.0001363452367362216;9.107065;19.001781;0.238075;105,593;15,600
28;5.600108295237154;1,491;0;7.974753;105,465;105,465;0;0;2,028;1.001214;7.692308;216.699457;37,551;67,914;105,465;0;0;0;0.000132333438229591;0.0001358986619866207;9.107065;19.001781;0.238075;105,593;15,600
31;6.200054900763398;1,482;0;7.909357;105,465;105,465;0;0;1,625;1.001214;9.600000;228.319149;37,551;67,914;105,465;0;0;0;0.0001331487376724526;0.0001370774073073901;9.107065;19.001781;0.238075;105,593;15,600
