time [s];swlx [m];swly [m];swlz [m];pos0x [m];pos0y [m];pos0z [m];pos2x [m];pos2y [m];pos2z [m]
2.030076;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.040028;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.050056;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.060105;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.070068;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.080040;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.090000;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.100010;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.110096;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.120107;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.130110;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.140015;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.150041;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.160102;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.170090;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.180016;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.190094;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.200106;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.210074;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.220069;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.230082;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.240101;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.250050;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.260072;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.270111;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.280009;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.290106;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.300003;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.310073;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.320090;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.330064;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.340083;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.350076;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.360047;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.370071;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.380021;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.390003;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.400006;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.410066;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.420054;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.430023;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.440022;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.450103;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.460049;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.470076;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.480090;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.490107;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.500030;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.510100;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.520106;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.530095;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.540058;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.550015;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.560022;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.570000;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.580047;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.590089;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.600037;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.610089;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.620008;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.630030;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.640054;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.650065;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.660089;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
2.670049;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
