time [s];swlx [m];swly [m];swlz [m];pos0x [m];pos0y [m];pos0z [m];pos2x [m];pos2y [m];pos2z [m]
1.320022;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.330093;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.340028;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.350053;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.360090;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.370112;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.380067;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.390043;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.400093;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.410059;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.420052;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.430025;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.440085;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.450081;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.460080;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.470107;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.480058;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.490019;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.500117;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.510111;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.520000;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.530099;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.540051;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.550022;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.560037;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.570096;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.580012;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.590077;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.600043;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.610082;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.620011;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.630063;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.640071;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.650101;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.660030;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.670073;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.680070;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.690108;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.700031;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.710004;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.720085;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.730049;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.740051;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.750075;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.760095;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.770052;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.780001;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.790021;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.800017;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.810045;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.820066;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.830103;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.840030;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.850108;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.860062;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.870075;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.880015;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.890103;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.900040;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.910105;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.920057;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.930032;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.940035;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.950011;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.960028;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.970066;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
1.980053;0.01;0.15;0;0.01;0.15;0;0.01;0.15;0.4
